Symbol,Name,5 Year âˆ†
NVDA,Nvidia,14.103820114992978
AMD,AMD,5.5834238790141635
SNPS,Synopsys,5.428300489833587
KLAC,KLA Corporation,5.232540097375596
CDNS,Cadence Design Systems,5.215501445382492
FICO,Fair Isaac,4.622727011614304
LRCX,Lam Research,4.281266314785562
MPWR,Monolithic Power Systems,3.7415054813508064
AMAT,Applied Materials,3.6600488546878887
PANW,Palo Alto Networks,3.1503054329998395
ANET,Arista Networks,3.0880873176431654
AVGO,Broadcom Inc.,2.9158015838944764
NOW,ServiceNow,2.745689252902105
MSFT,Microsoft,2.716057926311481
INTU,Intuit,1.867665646416855
ADBE,Adobe Inc.,1.7081859853718233
ORCL,Oracle Corporation,1.5895901266344266
STX,Seagate Technology,0.9968903149492736
CRM,Salesforce,0.6436446147069459
INTC,Intel,-0.046665216545235255
