Symbol,Name,13 Week âˆ†
EXPE,Expedia Group,0.27208288450181106
GRMN,Garmin,0.17685867596989474
CMG,Chipotle Mexican Grill,0.16927321425294378
HLT,Hilton Worldwide,0.11598136525482734
PHM,PulteGroup,0.113493059945103
LULU,Lululemon Athletica,0.10792308472367501
DHI,D.R. Horton,0.09163754346368146
AMZN,Amazon,0.08977624489932429
LEN,Lennar,0.08965810139973958
TSLA,"Tesla, Inc.",0.08728941982968419
ROST,Ross Stores,0.08507417452548277
RCL,Royal Caribbean Group,0.06391133228152282
NVR,"NVR, Inc.",0.036032485897261865
BKNG,Booking Holdings,0.025117485139888956
MAR,Marriott International,0.01820974813823743
ABNB,Airbnb,0.016712010299743823
CCL,Carnival,-0.05131495721005915
